first_seen,EMITENT_ID,EMITENT_TITLE
2026-02-21,14851,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Орион Финанс"""
2026-02-21,16160,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ПБ Сервис Финанс"""
2026-02-21,15413,"Общество с ограниченной ответственностью ""Специализированное финансовое общество РЛО замена лифтов"""
2026-02-21,16726,"Общество с ограниченной ответственностью ""Специализированное финансовое общество РЛО-2 замена лифтов"""
2026-02-21,16725,"Общество с ограниченной ответственностью ""Специализированное финансовое общество РХА Инвест - Первый"""
2026-02-21,10660,"Общество с ограниченной ответственностью ""Специализированное финансовое общество РуСол 1"""
2026-02-21,15254,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Румберг Структурные Продукты"""
2026-02-21,16165,"Общество с ограниченной ответственностью ""Специализированное финансовое общество СБ Секьюритизация 2"""
2026-02-21,17177,"Общество с ограниченной ответственностью ""Специализированное финансовое общество СБ Секьюритизация 3"""
2026-02-21,14713,"Общество с ограниченной ответственностью ""Специализированное финансовое общество СБ Секьюритизация"""
2026-02-21,16204,"Общество с ограниченной ответственностью ""Специализированное финансовое общество СОВКОМ СЕКЬЮР"""
2026-02-21,16013,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Сплит Финанс 1"""
2026-02-21,16728,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Сплит Финанс"""
2026-02-21,12351,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Спутник Финанс"""
2026-02-21,16813,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Столичные дороги Магистральная Инвест"""
2026-02-21,16308,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ТБ-3"""
2026-02-21,16921,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ТБ-4"""
2026-02-21,17141,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ТБ-5"""
2026-02-21,17281,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ТБ-6"""
2026-02-21,14783,"Общество с ограниченной ответственностью ""Специализированное финансовое общество ТЕМП"""
2026-02-21,17066,"Общество с ограниченной ответственностью ""Специализированное финансовое общество Эльтон"""
2026-02-21,12836,"Общество с ограниченной ответственностью ""СтанкоМашСтрой"""
2026-02-21,16109,"Общество с ограниченной ответственностью ""Стеллар Груп Рус"""
